7dd  = CWF de WiiLink
07e8  = ¡Huega en la CWF de WiiLink!
7e9  = ¡Huega con un amigo en la CWF de WiiLink!
7f1  = CWF de WiiLink (1H)
7f2  = CWF de WiiLink (2H)
faa  = Âççediendo a la CWF de WiiLink...
fab  = ¿Quierê dêcconêttarte \nde la CWF de WiiLink?
11fa  = La Conêççión Wi-Fi de WiiLink tiene un\nbolumen de tráfico demaçiao elebao o\ner çerbiçio ç'a interrumpío.\nBuerbe a intentâh conêttarte mâh tarde.\nPa ôttenêh ayuda, biçita er çitio wêh \nwfc.wiilink24.com.\n\nErrôh: \z{a02,1000000005}
14b4  = ¡Êttoy en la CWF de WiiLink!
14b5  = No êttoy en la CWF de WiiLink.
1ce9  = Cuando huegê a Mario Kart Wii en la \nCWF de WiiLink, la çigiente informaçión\nç'embiará a WiiLink automáticamente:\n\n・Tu Mii y tu apodo.\n・Tû reçurtáô y fantâmmâ.\n\nÊttô datô çe podrán compartîh con \notrô hugadorê en la CWF de WiiLink.
1cea  = ¿Dâ tu conçentimiento pa embiâh \nêttô datô a WiiLink?
1ced  = Â deçidío embiâh lô \ndatô a WiiLink.
1cee  = ¿Çeguro? Çi no dâ tu conçentimiento, \nno podrâh hugâh a Mario Kart Wii a \ntrabêh de la CWF de WiiLink.
1cef  = Â deçidío no embiâh lô \ndatô a WiiLink.
17e8  = ¿Quierê âççedêh a la CWF de WiiLink?
1c53  = Mario Kart Wii puede môttrâh la bandera de tu \npaîh y tu rehión en lô çigientê lugarêh:\n\n・En la CWF de WiiLink indicando tu ubicaçión.\n・En lô datô de tu fantâmma. \n\nÇi deçidê façilitâh êttô datô, \notrô hugadorê podrán bêl-lô en la \nCWF de WiiLink.
1c54  = ¿Quierê môttrâh tanto la bandera de tu paîh\ncomo tu rehión en la CWF de WiiLink?
1c57  = Â deçidío môttrâh tanto la bandera de tu \npaîh como tu rehión en la CWF de WiiLink.
1c58  = Â deçidío no môttrâh ni la bandera de tu \npaîh ni tu rehión en la CWF de WiiLink.
818  = Te bâ a dêcconêttâh de la CWF de\nWiiLink y borberâh ar menú prinçipâh.
3fc  = Menú de la CWF de WiiLink
841  = \z{602,0} y \z{802,120000}\nçe conêttarán huntô a la CWF\nde WiiLink. ¿Êttâh d'acuerdo?
816  = No ç'a podío âççedêh a la Conêççión \nWi-Fi de WiiLink. No ay datô guardáô.\n\nPuedê hêttionâh lô datô de la \nmemoria de la conçola Wii en la\npantaya de hêttión de datô de\nlâ ôççionê de Wii.
fa8  = Tu lîtta d'amigô êttá baçía.\n\nAñade a tû amigô pa podêh hugâh\nhuntô en la CWF de WiiLink.
fb0  = No puedê âççedêh a la\nConêççión Wi-Fi de WiiLink\ncon êtte nombre de Mii.\nCámbialo y buerbe a intentâl-lo.
1397  = Pa mehorâh tu ténnica, reta a lô \nfantâmmâ de hugadorê de tó er mundo \ny dîpputa una çerie de carrerâ a trabêh \nde la CWF de WiiLink.\040
1399  = Pa mehorâh tu ténnica, reta a lô \nfantâmmâ de hugadorê de tó er mundo \ny dîpputa una çerie de carrerâ a trabêh \nde la CWF de WiiLink. \n\n\z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} \z{c04,113a413a5}
1a3c  = No tienê clabe d'amigo.\n\nLa clabe d'amigo êh un número de 12 díhitô \nque çe t'açînna automáticamente la primera \nbêh qu'âççedê a la CWF de WiiLink.\n\nPa ôttenêh mâh informaçión, conçurta er \nmanuâh d'îttrûççionê de Mario Kart Wii.
1d4d  = Lô Miî d'otrô hugadorê pueden \napareçêh durante lâ carrerâ o lâ \nbatayâ, en lâ claçificaçionê o en\notrô lugarê de la CWF de WiiLink.\n\nTú deçidê çi quierê bêh êttô Miî \no çi prefierê çûttituîl-lô por aqueyô\nMiî creáô por Nintendo.
1fb0  = ¡1000 bîttoriâ en la CWF de WiiLink!
1fbf  = ¡5000 bîttoriâ en la CWF de WiiLink!
1fc1  = ¡250 bîttoriâ en la CWF de WiiLink!
1fce  = ¡50 bîttoriâ en la CWF de WiiLink!
1fe3  = ¡3000 bîttoriâ en la CWF de WiiLink!
200b  = Reçurtáô CWF de WiiLink
201c  = CWF de WiiLink Amigô
26af  = No puedê cambiâh lô mandô durante un \nenfrentamiento en la CWF de WiiLink. \nBuerbe a colocâh el anteriôh.
212c  = ¡%ls t'a \nembiao una imbitaçión\np'açerô amigô!\n\nClabe d'amigo de\nMario Kart Wii: %04d-%04d-%04d\n\nÇi rehîttráî buêttrâ rêppêttibâ \nclabê d'amigo, podréî hugâh \nhuntô a Mario Kart Wii en la \nConêççión Wi-Fi de WiiLink.\n\nÇi tienê Mario Kart Wii y âh \nañadío er Canâh Mario Kart\na tu menú de Wii, çelêççiona \ner botón "Començâh" que çe\nmuêttra a la derexa pa \nconfirmâh el rehîttro de la \nclabe d'amigo.\n\n¡Qu'ô dibirtáî!


2800  = Contrarrelôh (150cc)
2801  = Contrarrelôh (200cc)
2803  = Guardao de corredorê fantâmma deçâttibao.
2804  = Guardao de corredorê fantâmma deçâttibao. Códigô de Dolphin âttibáô.
2810  = Orden de pîttâh: Normâh
2811  = Orden de pîttâh: Arfabético
2A00  = Configuraçión
2A01  = Carrera  
2A02  = Menú  
2A07  = Anfitrión (2/2)
2A04  = Anfitrión (1/2)
2A05  = BÇ. (1/2)
2A06  = BÇ. (2/2)
2A08  = Âççeçibilidá 
2A20  = ¡Cambia tu configuraçión!
2A21  = ¡Cambia tu configuraçión de carrerâ!
2A22  = ¡Cambia tu configuraçión de menûh!
2A27  = ¡Cambia tu configuraçión de çalâ d'amigô!
2A24  = ¡Cambia tu configuraçión de çalâ d'amigô!
2A26  = ¡Cambia tu configuraçión de BÇ.!
2A25  = ¡Cambia tu configuraçión de BÇ.!
2A28  = ¡Cambia tu configuraçión d'âççeçibilidá!
37000  = Âttibao
37001  = Deçâttibao
