7dd  = WiiLink WFC
07e8  = Hraj přes WiiLink WFC!
7e9  = Hraj s kamarádem přes WiiLinkWFC!
7f1  = WiiLink WFC (1H)
7f2  = WiiLink WFC (2H)
faa  = Připojování k WiiLink WFC...
fab  = Chceš se odpojit od WiiLink WFC?
11fa  = Buď je připojení k WiiLink Wi-Fi\npřetížené,nebo\nnefunguje. Zkus to znovu.\nPotřebuješ-li pomoc, navštiv wfc.wiilink24.com.\n\nKód Chyby: \z{a02,1000000005}
14b4  = Jsem na WiiLinku WFC!
14b5  = Nejsem na WiiLinku WFC...
1ce9  = Když hraješ Mario Kart Wii přes\nWiiLink WFC, následující data budou\nautomaticky posílána WiiLinku:\n\n・tvá Mii a její jméno\n・tvé rekordy a duchova data\n\ntyto data jsou sdílena i s\nostatními hráči WiiLinka WFC.
1cea  = Chceš sdílet data\ns WiiLinkem?
1ced  = Máš vybráno sdílet\ndata s WiiLinkem.
1cee  = Jseš si jistý, že souhlasíš? Potom nebudeš\nmoct hrát Mario Kart Wii přes\nWiiLink WFC.
1cef  = Máš vybráno nesdílet\ndata s WiiLinkem.
17e8  = Připojit k WiiLink?
1c53  = Mario Kart Wii zobrazuje vlajku\na oblast na následujících místech:\n\njako globální pozici na WiiLink WFC\n・na tvých datech duchů\n\nPkud chceš aby se tato informace\nzobrazovala, bude poslána ostatním\nhráčům, když hraješ WiiLink WFC.
1c54  = Chceš zobrazit svoji vlajku\na oblast na WiiLink WFC?
1c57  = Máš vybráno zobrazit\ntvoji vlajku a oblast na WiiLink WFC.
1c58  = Máš vybráno nezobrazovat\ntvoji vlajku a oblast na WiiLink WFC.
818  = Právě jsi odpojen\nod WiiLink WFC a\nvrať se na hlavní menu.
3fc  = WiiLink WFC Menu
841  = \z{602,0} a \z{802,120000}\nbudou připojeni do WiiLink WFC\nspolu.Souhlasíš?
816  = Není možno se připojit k WiiLink Wi-Fi\nPřipojení. Zde nejsou uložená data.\n\nMůžeš spravovat systémovou paměť Wii\nv Data Managment Screen\nve Wii Options.
fa8  = Ve tvé Kamarádové Soupisku\nnemáš registrované žádné Kamarády.\n\nRegistruj si Kamarády,aby\njste mohli hrát společně na WiiLink WFC.\040
fb0  = Nemůžeš vstoupit do WiiLink\nWi-Fi připojení, když používáš\ntoto jméno Mii. Prosím změň jméno\ntvé Mii a zkus to znovu.
1397  = Zlepši svou techniku v závodech Na Čas\nvyzýváním duchových dat od\nhráčů z celéh světa v\nsériích závodů s WiiLink WFC!
1399  = Zlepši svou techniku v závodech Na Čas\nvyzýváním duchových dat od\nhráčů z celéh světa v\nsériích závodů s WiiLink WFC!\n\nTvůj aktuální rekord:\n\z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} \z{c04,113a413a5}
1a3c  = Nemáš svůj Kód Kamaráda.\n\nKód Kamaráda je 12timístné číslo, které\nje automaticky posíláno, když\nse poprvé připojíš k WiiLink WFC.\n\nPro více informací\nse koukni do manuálu od Mario Kart Wii.
1d4d  = Mii vytvořené ostatními hráči\nmohou být zobrazené během závodů\na bitev, v žebříčcích\na na ostatních místech na WiiLink WFC.\n\nMůžeš souhlasit s tím, že tyto Mii\nbudou zobrazeny tak jak jsou,nebo si můžeš vybrat,že\ntyto Mii budou nahrazeny Mii od Nintenda.
1fb0  = Vyhrál jsi tisíckrát v WiiLinku WFC!
1fbf  = Vyhrál jsi pěttisíckrát v WiiLinku WFC!
1fc1  = Vyhrál jsi dvěstěpadesátkrát v WiiLinku WFC!
1fce  = Vyhrál jsi padesátkrát v WiiLinku WFC!
1fe3  = Vyhrál jsi třítisíckrát v WiiLinku WFC!
200b  = Rekordy na WiiLink WFC
201c  = WiiLink WFC Rekordy Kamarádů
26af  = Ovladače nemohou být změněny\nběhem WiiLink WFC utkání. Prosím\npřipojte původní ovladač.
212c  = Dostal jsi pozvánku ke\nKamarádství od uživatele\n%ls!\n\nMario Kart Wii\nKód Kamaráda: %04d-%04d-%04d\n\nPro hraní společně\nmůžete hrát Mario Kart Wii\npřes WiiLink WFC\nPřipojení.\n\nPokud máš Mario Kart Wii\npřidáno na Mario Kart Kanálu na\ntvém Wii Menu, you můžeš si vybrat\ntlačítko STARTbr />napravo.\n\nBav se!


2800  = Na Čas (150cc)
2801  = Na Čas (200cc)
2803  = Ukládání duchů zablokovany.
2804  = Ukládání duchů nepovoleno. Dolphin cheaty povoleny.
2810  = Pořadí Tratí: Normální
2811  = Pořadí Tratí: Abecední
2A00  = Nastavení
2A01  = Závod  
2A02  = Menu  
2A07  = Hostitel (2/2)
2A04  = Hostitel (1/2)
2A05  = VS (1/2)
2A06  = VS (2/2)
2A08  = Usnadnění 
2A20  = Spravovat svá nastavení!
2A21  = Spravovat nastavení Závodu!
2A22  = Spravovat nastavení Menu!
2A27  = Spravovat nastavení Místnosty Přátelů!
2A24  = Spravovat nastavení Místnosty Přátelů!
2A26  = Spravovat nastavení VS!
2A25  = Spravovat nastavení VS!
2A28  = Spravovat nastavení Přístupnosti!
37000  = Aktivováné
37001  = Zablokované
30000  = Hudba Posledního Kola
30001  = Zrychlení
30002  = Bez Přerušení
30003  = Výchozí
40001  = Hudba se zrychlí přes 4s při vstupu do posledního kola.
40002  = Hudba bude pokračovat při vstupu do posledního kola.
40003  = Hudba se změní na rychlou variantu jako obvykle.
