7dd  = WiiLink WFC
07e8  = Jouez via la CWF WiiLink!
7e9  = Jouez avec un ami via la CWF WiiLink!
7f1  = CWF WiiLink (1J)
7f2  = CWF WiiLink (2J)
faa  = Accès à la CWF WiiLink...
fab  = Voulez-vous interrompre la\nconnexion Wi-Fi WiiLink?
11fa  = Soit la connexion Wi-Fi WiiLink connaît\nun trafic trop important, soit le service\nest interrompu. Veuillez réessayer\nultérieurement. Pour toute assistance,\nvisitez le site wfc.wiilink24.com.\n\nCode d'erreur: \z{a02,1000000005}
14b4  = Je suis en ligne!
14b5  = Je ne suis pas en ligne!
1ce9  = Lorsque vous jouez à Mario Kart Wii via\nCWF WiiLink, les informations suivantes\nsont automatiquement envoyées à WiiLink:\n\n・votre Mii et votre surnom\n・vos records et vos fantômes\n\nCes informations peuvent être vues par tous\nles joueurs connectés à la CWF WiiLink.
1cea  = Autoriser l'envoi de données à WiiLink?
1ced  = Vous avez accepté d'envoyer\nvos données Mario Kart Wii\nà WiiLink.
1cee  = Si vous n'acceptez pas d'envoyer ces\ndonnées à WiiLink, vous ne pourrez pas\njouer à Mario Kart Wii via la CWF WiiLink.\n\nVoulez-vous continuer?
1cef  = Vous avez refusé d'envoyer\nvos données Mario Kart Wii\nà WiiLink.
17e8  = Se connecter à la connexion\nWi-Fi WiiLink?
1c53  = Mario Kart Wii peut afficher\nles informations suivantes:\n\n・votre pays (fantômes et classements)\n・votre position sur le globe\n\nSi vous choisissez d'afficher votre profil\nrégional, il pourra être vu par tous les\njoueurs connectés à la CWF WiiLink.
1c54  = Voulez-vous afficher votre profil\nrégional sur la CWF WiiLink?
1c57  = Vous avez choisi d'afficher\nvotre profil régional.
1c58  = Vous avez choisi de ne pas\nafficher votre profil régional.
818  = La connexion à la CWF WiiLink\nva être interrompue et vous allez\nretourner au menu principal.
3fc  = Menu CWF WiiLink
841  = \z{602,0} et \z{802,120000}\nvont se connecter ensemble à\nla connexion Wi-Fi WiiLink.\n\nVoulez-vous continuer?
816  = Impossible de se connecter à la\nconnexion Wi-Fi WiiLink car il\nn'y a aucune donnée sauvegardée.\n\nGérez les données sauvegardées\ndans la mémoire de la console Wii\nà partir de l'écran de gestion des\ndonnées de la console.
fa8  = Vous n'avez aucun ami enregistré\ndans votre liste d'amis.\n\nEnregistrez des amis pour jouer\navec eux via la CWF WiiLink.
fb0  = Impossible d'accéder à la connexion\nWi-Fi WiiLink avec ce nom de Mii.\nVeuillez changer le nom de votre Mii\net recommencer.
1397  = Améliorez votre technique\nen affrontant des fantômes\nde joueurs du monde entier\ndans une série de courses\nvia la CWF WiiLink!\n
1399  = Améliorez votre technique\nen affrontant des fantômes\nde joueurs du monde entier\ndans une série de courses\nvia la CWF WiiLink!\n\n\z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} \z{c04,113a413a5}
1a3c  = Vous n'avez pas de code ami.\n\nVotre code ami est un nombre à 12 chiffres\nqui vous est attribué la première fois que\nvous vous connectez à la CWF WiiLink.\n\nVeuillez vous référer au mode d'emploi\nde Mario Kart Wii pour plus de détails.
1d4d  = Les Mii créés par les joueurs du monde entier\npeuvent apparaître pendant les courses et les\nbatailles, dans les classements, ainsi qu'à\ndivers autres endroits sur la CWF WiiLink.\n\nVous pouvez choisir de les afficher ou de\nles remplacer par des Mii créés par Nintendo.
1fb0  = Vous avez obtenu 1000 victoires sur la CWF WiiLink!
1fbf  = Vous avez obtenu 5000 victoires sur la CWF WiiLink!
1fc1  = Vous avez obtenu 250 victoires sur la CWF WiiLink!
1fce  = Vous avez obtenu 50 victoires sur la CWF WiiLink!
1fe3  = Vous avez obtenu 3000 victoires sur la CWF WiiLink!
200b  = CWF WiiLink
201c  = Amis CWF WiiLink
26af  = Impossible de changer de manette\npendant une partie CWF WiiLink.\nReconnectez la manette précédente.
212c  = %ls vous a envoyé\nune invitation!\n\nCode ami Mario Kart Wii:\n%04d-%04d-%04d\n\nEn enregistrant vos codes amis\nrespectifs, vous pourrez jouer\nensemble à Mario Kart Wii via\nla connexion Wi-Fi WiiLink.\n\nSi vous possédez Mario Kart Wii\net que vous avez ajouté la chaîne\nMario Kart à votre menu Wii,\nsélectionnez le bouton "Démarrer"\nen bas à droite de l'écran pour\nenregistrer ce code ami dans votre\nliste d'amis.\n\nAmusez-vous bien!


2800  = Contre-la-montre (150cc)
2801  = Contre-la-montre (200cc)
2803  = Sauvegarde des fantômes désactivée.
2804  = Sauvegarde des fantômes désactivée. Codes de triche activés.
2810  = Ordre des Circuits: Normal
2811  = Ordre des Circuits: Alphabétique
2A00  = Options
2A01  = Course  
2A02  = Menu  
2A07  = Hôte (2/2)
2A04  = Hôte (1/2)
2A05  = Contre (1/2)
2A06  = Contre (2/2)
2A08  = Accessibilité 
2A20  = Configurez vos options!
2A21  = Configurez vos options de Course!
2A22  = Configurez vos options de Menu!
2A27  = Configurez vos options de Salle d'Amis!
2A24  = Configurez vos options de Salle d'Amis!
2A26  = Configurez vos options de VS!
2A25  = Configurez vos options de VS!
2A28  = Configurez vos options d'Accessibilité!
37000  = Activé
37001  = Désactivé
30000  = Musique de Dernier Tour
30001  = Accéléré
30002  = Sans Coupure
30003  = Par défaut
40001  = La musique accélérera pendant 4s en entrant dans le dernier tour.
40002  = La musique continuera en entrant dans le dernier tour.
40003  = La musique passera à la variante rapide comme d'habitude.
30010  = Carapaces Bleues Traînables
40011  = Vous pouvez tenir la Carapace Bleue derrière comme les autres carapaces.
40012  = Vous ne pourrez pas tenir la Carapace Bleue derrière comme les autres carapaces.
30020  = Têtes des Miis
40021  = Les Miis des joueurs seront affichés sur la mini-carte.
40022  = Le personnage des joueurs seront affichés sur la mini-carte.
30030  = Compteur de Vitesse
30031  = Désactivé
30032  = Sans décimales
30033  = 1 décimale
30034  = 2 décimales
40031  = Le Compteur de Vitesse sera désactivé.
40032  = Le Compteur de Vitesse n'affichera pas de décimales.
40033  = Le Compteur de Vitesse affichera 1 décimale.
40034  = Le Compteur de Vitesse affichera 2 décimales.
30040  = Mode d'affichage des FPS
30041  = Normal
30042  = Forcer les 30 FPS
30043  = Forcer les 60 FPS
40041  = Utiliser le mode d'affichage d'FPS par défaut.
40042  = Utiliser quand le jeu lag trop.
40043  = Utiliser pour de meilleurs systèmes. (Dolphin seulement)
30050  = Sauvegarde de fantômes.
40051  = La Sauvegarde de fantômes sera activée.
40052  = La Sauvegarde de fantômes sera désactivée.
30110  = Menus Rapides
40111  = La transitions des menus sera instantanée.
40112  = La transition des menus sera normale.
30100  = Langue
30120  = Dans l'Ordre
30121  = Normal
30122  = Alphabétique
30300  = OpenHost
40301  = Les joueurs qui vous ont ajoutés peuvent rejoindre la salle.
40302  = Seulement les joueurs avec qui vous êtes amis peuvent rejoindre.
30310  = L'hôte gagne toujours
40311  = Seul le vote de l'hôte importe.
40312  = Le circuit sera sélectionné comme d'habitude.
30320  = Permettre les têtes de Mii
40321  = Les joueurs peuvent utiliser les têtes de Mii.
40322  = Les têtes de Mii seront désactivés.
30340  = Forcer CC
30341  = Aucun
30342  = 150cc
30343  = 200cc
30344  = Mirroir (150cc)
30350  = Nombre de Courses
30510  = Sélection des Variantes
40511  = Les joueurs peuvent voter pour une version spécifique d'un circuit.
40512  = Les joueurs ne peuvent pas voter pour une version spécifique d'un circuit.
30520  = Méga Nuage
40521  = Le Nuage Zap rend les joueurs gigantesques.
40522  = Le Nuage Zap rapetisse les joueurs comme d'habitude.
30530  = Tout les objets peuvent attérir.
40531  = Tout les types d'objets peuvent attérir sur le sol.
40532  = Seulement certains types d'objets peuvent attérir sur le sol.
30630  = Forcer l'Aléatoire
30631  = Désactivé
30632  = Individuel
30633  = Commun
40631  = Les joueurs pourront choisir leur véhicule comme d'habitude.
40632  = Tout les joueurs verront leur combo choisit aléatoirement avant la course.
40633  = Tout les joueurs auront leur même combo avant la course.
30700  = Contrôles Simplifiés
30701  = Désactivé
30702  = Seulement Haut
30703  = Directionnel
40701  = Les contrôles simplifiés seront désactivés.
40702  = Appuyer sur Y/ZL vous fera faire une figure.
40703  = Appuyer sur Y/ZL vous fera faire une figure en fonction de la direction du joystick.
30710  = Effets de champ visuel
30720  = Tremblement de Caméra
30730  = Flou
30711  = Activé
30712  = Réduit
30713  = Désactivé
2820  = Une piste en solo pour le record le plus rapide! (200cc)
beb  = Une piste en solo pour le record le plus rapide! (150cc)
2830  = Changer de combo
2831  = Choisir ou Aléatoire?
2840  = Certains changements requièrent un redémarrage
284C  = Êtes-vous sûr de vouloir quitter?\n\nPartir d'une course en cours va résulter à une pénalité de VR.
2841  = Codes de triche Dolphin détectés!\nCe jeu pourrait ne pas fonctionner comme prévu.
2842  = Mémoire étendue Dolphin détectée!\nCe jeu pourrait ne pas fonctionner comme prévu.
30500  = Sélection des Circuits
30501  = Toutes
30502  = Rétros
30503  = Circuits Customs
2806  = Aurora requière Dolphin 5.0-17586 ou plus récent.\nVeuillez le télécharger à partir du site officiel.\n\nRetour au menu Wii...
2843  = Il semblerait que vous utilisez les configurations par défaut de Dolphin.\nVeuillez importer la NAND de votre Wii pour accéder\nà toutes les fonctionnalités de Aurora.
2844  = Il semblerait que vous utilisez une NAND publique.\nVeuillez importer la NAND de votre Wii pour accéder\nà toutes les fonctionnalités de Aurora.
2845  = Vérification avec le serveur...
2846  = Il y'a eu une erreur lors de la connection au serveur.\n\nCode d'erreur: \z{802,200000}\z{a02,1000000000}
2847  = Il y'a eu une erreur lors de la connection au serveur.\n\nCode d'erreur: \z{802,200000}\z{a02,1000000000}\nRetour au menu Wii...
2848  = Nouvelle mise-à-jour disponible! \z{802,200000}\nTéléchargez la nouvelle version à partir du Wiiki!
2805  = Voulez-vous envoyer le fantôme dans les classements?
2849  = Fantôme envoyé avec succès!
284A  = Il y'a eu une erreur lors de l'envoi du fantôme.\n\nError Code: \z{802,200000}\z{a02,1000000000}
284B  = \z{a02,1000000000}\z{800,46}\nJoueurs actifs
2802  = Temps invalidé. Delta trop large.
30130  = Thème du menu
30131  = Aurora
30132  = Arc-en-ciel
30133  = Blanc
