7dd  = WiiLink WFC
07e8  = Spiele online via WiiLink WFC!
7e9  = Spiele zu zweit online via WiiLink WFC!
7f1  = WiiLink WFC (1S)
7f2  = WiiLink WFC (2S)
faa  = Verbinde mit WiiLink WFC...
fab  = Soll die Verbindung zu WiiLink WFC \nwirklich getrennt werden?
11fa  = Bei der Verbindung zu WiiLink WFC\nist ein Fehler aufgetreten. \nFür Hilfe besuche bitte\nhttps://WiiLink WFC.de/error\n\nFehlercode: \z{a02,1000000005}
14b4  = Verbunden mit WiiLink WFC!
14b5  = Nicht mit WiiLink WFC verbunden!
1ce9  = Spielst du Mario Kart Wii\nvia WiiLink WFC, werden\nautomatisch folgende Daten an\nden WiiLink WFC-Server gesendet:\n- dein Mii und Spitzname\n- deine Rekorde und Geistdaten\n\nDiese Daten können andere\nSpieler via Nintendo WFC einsehen.
1cea  = Dürfen Daten an WiiLink WFC \ngesendet werden?
1ced  = Du hast die Erlaubnis erteilt, \ndass Daten an den WiiLink WFC-Server\ngesendet werden. 
1cee  = Bist du sicher? Du kannst\nMario Kart Wii mit dieser Einstellung\nnicht auf WiiLink WFC spielen.
1cef  = Du hast die Erlaubnis, \nDaten an den WiiLink WFC-Server zu senden, \nnicht erteilt.
17e8  = Mit WiiLink WFC verbinden?
1c53  = Mario Kart Wii kann deine Landes-\nflagge und Region an folgenden\nStellen anzeigen:\n\n- Globus-Position (WiiLink WFC)\n- Geistdaten\n\nDu kannst entscheiden, ob diese\nInformationen für andere Spieler,\ndie via WiiLink WFC verbunden sind, \neinsehbar sind.
1c54  = Möchtest du, dass deine Landes-\nflagge und deine Region erkennbar\nsind, wenn du mit WiiLink WFC verbunden bist?
1c57  = Deine Landesflagge und Regions-\neinstellung sind für andere\neinsehbar, während du mit\nWiiLink WFC verbunden bist.
1c58  = Deine Landesflagge und Regions-\neinstellung sind für andere\nnicht einsehbar, während du mit\nWiiLink WFC verbunden bist.
818  = Die Verbindung zu WiiLink WFC \nwurde unterbrochen. Du kehrst\nnun zurück zum Hauptmenü.
3fc  = WiiLink WFC-Menü
841  = \z{602,0} und \z{802,120000}\nwerden gemeinsam mit \nWiiLink WFC verbunden. 
816  = Keine Verbindung zu WiiLink WFC möglich. \nEs existiert keine Speicherdatei.\n\nIm Datenverwaltungsbildschirm\ndes Speichers der Wii-Konsole\nkannst du den Inhalt des\nSpeichers der Wii-Konsole verwalten.
