7dd  = WiiLink WFC
07e8  = Graj przez WiiLink WFC!
7e9  = Graj ze znajomym przez WiiLink WFC!
7f1  = WiiLink WFC (1G)
7f2  = WiiLink WFC (2G)
faa  = Łączenie z WiiLink WFC...
fab  = Rozłączyć z WiiLink WFC?
11fa  =  Zbyt dużo osób próbuje połączyć się\nz WiiLink Wi-Fi Connection badź\nserwis jest niedostępny. Spróbuj ponownie\npóźniej, aby otrzymać pomoc odwiedź\nwfc.wiilink24.com.\n\nError Code: \z{a02,1000000005}
14b4  = Jest na WiiLink WFC!
14b5  = Nie jestem na WiiLink WFC...
1ce9  = Podczas grania poprzez WiiLink WFC\nponiższe dane automatycznie się wysyłane\ndo serwerów WiiLink:\n\n・Twój nick oraz Mii\n・Twoje rekordy i duchy\n\nTe dane mogą być wysyłane do\ninnych graczy na WiiLink WFC.\n
1cea  = Czy pozwoliśc na wysyłanie\ndanych do serwerów WiiLink?
1ced  = Wyraziliście zgodę na wysyłanie\ndanych do serwerów WiiLink.
1cee  = Jesteście pewni? Nie będziecie w stanie\ngracz w Mario Kart Wii poprzez WiiLink\nz tym ustawieniem.
1cef  = Nie wyraziliście zgody na wysyłanie\ndanych do serwerów WiiLink.
17e8  = Połączyć z WiiLink WFC?
1c53  = Mario Kart Wii może pokazywać flagę twojego kraju oraz region w następujących miejscach: \n\n・jako globalna pozycja na WiiLink WFC\n・w danych twoich duchów\n\nJeżeli zezwolisz na dostęp to tych informacji, będą one wysyłana do innych graczy na WiiLink WFC.
1c54  = Czy chcesz wyświetlać twoją flagę kraju oraz region na WiiLink WFC?\n
1c57  = Wyraziłeś zgodę na wyświetlanie twojej flagi i regionu na WiiLink WFC.
1c58  = Nie wyraziłeś zgody na wyświetlanie twojej flagi i regionu na WiiLink WFC.
818  = Zostaniesz rozłączony od WiiLink WFC i powrócisz do menu głownego.
3fc  = Menu WiiLink WFC
841  = \z{602,0} i \z{802,120000}\npolączą się razem do WiiLink WFC.\nZgadzasz się na to?
816  = Nie można połączyć się z WiiLink WFC.\nNie ma danych zapisu.\n\nMożesz zarządzać Pamięcią Systemową Wii\nw Ekranie Zarządzania Danymi w Opcjach Wii.
fa8  = Nie posiadasz żadnych zarejestrowanych\nznajomych w Liście Znajomych.\n\nZarejestruj Znajomych, aby grać\nz nimi online.\040
fb0  = Nie przesadziłeś z tą nazwą Mii?!\nOdrzucamy Twoją obecność tutaj!\nProszę zmień nazwę\nMii i spróbuj ponownie.
1397  = Udoskanalaj swoją technikę na Próbach\nCzasowych poprzez walczenie z duchami\ngraczy z całego świata w serii wyścigów\nna WiiLink WFC!
1399  = Udoskanalaj swoją technikę na Próbach\nCzasowych poprzez walczenie z duchami\ngraczy z całego świata w serii wyścigów\nna WiiLink WFC!\n\nTwój aktualny rekord:\n\z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} \z{c04,113a413a5}
1a3c  = Nie posiadasz Kodu Przyjaciela.\n\nKod Przyjaciela to 12-liczbowy numer, który\njest automatycznie generowany dla Ciebie\nkiedy pierwszy raz połączysz się do WiiLink WFC.\n\nPo więcej informacji, proszę poczytać \nw Instruckji do gry Mario Kart WII
1d4d  = Mii stworzone przez innych graczy\nmogą być wyświetlane w ciągu wyścigów,\nbitw, w rankingach i innych miejscach\nna WiiLink WFC.\n\nMożesz zezwolić na wyświetlanie tych Mii albo\nzamienić je na Mii stworzonymi przez Nintendo.
1fb0  = Wygrałeś/aś 1000 wyścigów online!
1fbf  = Wygrałeś/aś 5000 wyścigów online!
1fc1  = Wygrałeś/aś 250 wyścigów online!
1fce  = Wygrałeś/aś 50 wyścigów online!
1fe3  = Wygrałeś/aś 3000 wyścigów online!
200b  = Rekordy WiiLink WFC
201c  = Rekordy WiiLink WFC Przyjaciół
