7dd  = CWF de WiiLink
07e8  = ¡Juega en la CWF de WiiLink!
7e9  = ¡Juega con un amigo en la CWF de WiiLink!
7f1  = CWF de WiiLink (1J)
7f2  = CWF de WiiLink (2J)
faa  = Accediendo a la CWF de WiiLink...
fab  = ¿Quieres desconectarte 
\nde la CWF de WiiLink?
11fa  = La Conexión Wi-Fi de WiiLink tiene un\nvolumen de tráfico demasiado elevado o\nel servicio se ha interrumpido.\nVuelve a intentar conectarte más tarde.\nPara obtener ayuda, visita el sitio web\nwfc.wiilink24.com.\n\nCódigo de error: \z{a02,1000000005}
14b4  = ¡Estoy en línea!
14b5  = No estoy en línea...
1ce9  = Cuando juegues Mario Kart Wii\na través de la CWF de WiiLink,\nse enviará la siguiente información\na WiiLink de manera automática:\n・Tu Mii y tu apodo.\n・Tus resultados y tus fantasmas.\nEstos datos se podrán compartir \ncon otros jugadores de Mario Kart Wii.
1cea  = ¿Quieres permitir que se\nenvíen los datos a WiiLink?
1ced  = Has decidido enviar \nlos datos de Mario \nKart Wii.
1cee  = No podrás jugar Mario Kart Wii\na través de la CWF de WiiLink.\n¿Quieres continuar?
1cef  = Has decidido no enviar\nlos datos de Mario \nKart Wii.
17e8  = Vas a conectarte a la CWF de\nWiiLink. ¿Estás de acuerdo?
1c53  = Mario Kart Wii puede mostrar la bandera de tu \npaís y tu región en los siguientes lugares:\n\n・En la CWF de WiiLink indicando tu ubicación.\n・En los datos de tu fantasma. \n\nSi decides mostrar estos datos, \ntus oponentes podrán verlos en la \nCWF de WiiLink.
1c54  = ¿Quieres mostrar la bandera de tu país\ny tu región al jugar Mario Kart Wii?
1c57  = Has decidido mostrar la bandera de tu\npaís y tu región en la CWF de WiiLink.
1c58  = Has decidido no mostrar la bandera de tu\npaís ni tu región en la CWF de WiiLink.
818  = Te has desconectado de la\nCWF de WiiLink. Vas a volver\nal menú principal.
3fc  = Menú de la CWF de WiiLink
